"date","main_gas","oak_gas","main_ele","oak_ele","oat_hull","pellet_coal","pellet","gas_the","pellet_per","pellet_the","hull_the","coal_the","coal_co2","pellet_co2","gas_co2","hull_co2","gas_n20","pellet_n20","hull_n20","coal_n20","coal_ch4","gas_ch4","pellet_ch4","hull_ch4","ele_co2","ele_ch4","ele_n20"
2021-07-30,1103.89035022646,531.970260223048,1031.09923162308,30.9255744040544,309.023161417665,183.061049138391,202.788360682537,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-07-31,759.646425758764,333.64312267658,917.809758447009,41.9675038396759,382.163821619779,158.160704948989,194.381547845786,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-01,1078.27883742935,339.405204460967,945.019758667541,49.3649962228134,59.2395275919615,221.16105793703,192.596267015923,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-02,150.936341329806,511.059479553903,1024.72185871434,32.504457060705,227.343283564306,177.192274447798,184.334941591949,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-03,625.966694340822,514.498141263941,1021.55821145522,27.4514455504574,213.285843830074,174.603843013516,194.120439681731,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-04,1183.22536329769,512.918215613383,1048.93789059275,29.741489496203,59.3874192463054,232.489170556907,187.4992763063,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-05,1009.03847917767,520.631970260223,1068.22080657682,30.116701338883,156.567227881078,204.59421669462,178.741059672817,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-06,52.022562139126,507.899628252788,1130.29693021185,35.2285559651015,461.67458690875,139.712590109731,201.381327986275,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-07,12.0056609426268,303.810408921933,1101.345312476,49.0730739449203,455.857633026935,144.118528770482,197.811717915062,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-08,973.25534257792,325.278810408922,1081.97826584631,56.8897699300122,133.82538112603,220.020115349255,197.369543643229,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-09,1537.80689501296,514.498141263941,1190.44529172929,45.9685395574292,311.274364399679,173.690235343033,195.711308190795,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-10,1604.96577863803,611.802973977695,1232.43135603631,30.6772578227382,450.741624212322,137.359541550162,177.264849810662,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
